epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,126.02,0.77606,1.10636,0.68465,0.96128,0,0.83118,0.68966,0.76234,0.58356,0.76241,0.63969,0.68903,0.46859,0.91393,1.44554,0.85167,0.97011,0,0.000717875,0.000717875,0.000717875
45,128.794,0.76954,1.10188,0.69403,0.97025,0,0.85523,0.69549,0.77566,0.58795,0.82522,0.62801,0.70683,0.47564,0.93324,1.49094,0.84452,0.95746,0,0.0007055,0.0007055,0.0007055
46,131.594,0.76945,1.08521,0.68397,0.95687,0,0.83378,0.70835,0.7759,0.58491,0.78009,0.66302,0.70271,0.47499,0.9118,1.46462,0.80968,0.94661,0,0.000693125,0.000693125,0.000693125
47,134.592,0.77474,1.19079,0.69748,0.98095,0,0.89304,0.67876,0.77642,0.59496,0.8544,0.63131,0.71731,0.48286,0.90542,1.47126,0.79174,0.95236,0,0.00068075,0.00068075,0.00068075
48,137.538,0.74884,1.0967,0.68822,0.96005,0,0.84152,0.68339,0.7609,0.58453,0.80108,0.65406,0.70646,0.48566,0.91534,1.50518,0.81486,0.95732,0,0.000668375,0.000668375,0.000668375
49,140.53,0.7922,1.11582,0.68844,0.96672,0,0.88232,0.64427,0.76168,0.57297,0.83231,0.60628,0.68546,0.44554,0.91111,1.48194,0.82007,0.96451,0,0.000656,0.000656,0.000656
50,143.509,0.74816,1.14447,0.68123,0.97057,0,0.84612,0.67308,0.75314,0.57964,0.77108,0.62957,0.68037,0.47495,0.90453,1.41691,0.8362,0.95331,0,0.000643625,0.000643625,0.000643625
51,146.48,0.72888,1.00083,0.65426,0.9594,0,0.86428,0.67163,0.75412,0.57265,0.79557,0.61568,0.68463,0.45879,0.92209,1.44604,0.86608,0.95175,0,0.00063125,0.00063125,0.00063125
52,149.274,0.76504,1.11259,0.68925,0.97641,0,0.91459,0.66614,0.7898,0.58144,0.8648,0.62882,0.71964,0.48741,0.94897,1.35546,0.8412,0.97867,0,0.000618875,0.000618875,0.000618875
53,152.083,0.77391,1.13004,0.67689,0.96884,0,0.90591,0.68987,0.77666,0.59081,0.83635,0.63887,0.70002,0.49022,0.94066,1.34536,0.86263,0.96566,0,0.0006065,0.0006065,0.0006065
